	English	Swedish	French	Italian	German	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
IronGreatSwordHTD_Name	Iron Greatsword		Espadon en fer		Eisernes Großschwert	Espada Bastada de Hierro	Железный великий меч								Demir Büyük Kılıç						Ijzeren Langzwaard		Espada Grande de Ferro Pesado	铁质大剑		철 대검								
IronGreatSwordHTD_Desc	A wavy greatsword of death, the design is foreign but quite effective.		Une grande épée de la mort, la conception est étrangère mais assez efficace.		Ein gewelltes Großschwert des Todes. Das Design ist fremd, aber sehr effektiv.	Una espada de la muerte ondulada, Su diseño es un poco extraño pero efectivo	Волнистый двуручный меч смерти, внешний вид немного запредельный, но весьма эффективный.								Kavisli büyük bir ölüm kılıcı, tasarımı yabancı ama oldukça etkili.						Een golvend langzwaard des doods, het ontwerp is vreemd maar zeer effectief.		Uma espada larga ondulada e mortal, a aparência é estranha, mas bastante eficaz.	一把波浪形的死亡大剑，设计很陌生但很有效。		뱀모양의 이국적인 검신은 생각보다 효과적입니다.								
IronHeavyGreatSwordHTD_Name	Heavy Iron Greatsword		Espadon en fer lourd		Schweres Eisengroßschwert	Espada Bastada de Hierro pesada	Железный тяжелый великий меч								Ağır Demir Büyük Kılıç						Zwaar Ijzeren Langzwaard		Espada Grande de Ferro Pesado	重铁大剑		중철 대검								
IronHeavyGreatSwordHTD_Desc	A foreignly designed weapon that is heavier towards the end, and in general. Harder to swing but stronger than a normal greatsword.		Un autre design étranger qui est plus lourd en général. Plus difficile à balancer mais plus solide qu'un espadon de fer normale.		Eine Waffe mit ausländischem Design, die gegen Ende und im Allgemeinen schwerer ist. Schwerer zu schwingen, aber stärker als ein normales Großschwert.	Otro diseño extranjero con el peso en la punta, dificil de blandir pero mas fuerte que su hermana pequeña	Еще один запредельный замысел, который имеет тяжесть на конце и в целом. Им труднее размахивать, тем не менее он сильнее, чем обычный большой железный меч.								Sonlara doğru ve genel olarak daha ağır olan başka bir yabancı tasarım. Savurması daha zor ama normal demir büyük kılıçtan daha güçlü.						Een vreemd ontworpen wapen dat zwaarder is richting de punt. Het is moeilijker te zwaaien maar sterker dan een normaal langzwaard		Uma arma de design estrangeiro, é mais pesada no final . Mais difícil de balançar, porém mais forte do que uma espada larga normal.	一种外来人设计的武器，在接近尾端时更重，一般来说。更难挥舞，但比普通的巨剑更强。		끝으로 갈수록 무거워지는 검신은 휘두르기 어렵지만 일반 철 양손검보다 강합니다.								
SilverGreatSwordHTD_Name	Silver Greatsword		Espadon en argent		Silbernes Großschwert	Espada Bastarda de plata	Серебряный великий меч								Gümüş Büyük Kılıç						Zilveren Langzwaard		Espada Grande de Prata	银质大剑		은 대검								
SilverGreatSwordHTD_Desc	A large silvered ceremonial sword, noble warriors would not choose to give up their personal safety by choice. However, the range and silver make this weapon great for hordes of undead.				Ein großes versilbertes Zeremonialschwert, edle Krieger würden ihre persönliche Sicherheit nicht freiwillig aufgeben. Die Reichweite und das Silber machen diese Waffe jedoch großartig für Horden von Untoten.	Una larga espada ceremonial, Normalmente los nobles no eligen un arma que les deje desprotegida, ademas la plata es buena contra los muertos vivientes.	Большой посеребренный церемониальный меч, по своей воле даже благородные воины не захотят отказатся от своей личной безопасности. Однако дальность и чистое серебро делают его отличным оружием против полчищ нежити.								Büyük bir gümüş merasim kılıcı. Asil olan savaşçılar kişisel güvenliklerinden vazgeçmeyi tercih etmezler. Ancak menzili ve saf gümüşten olması onu ölümsüz ordular için harika bir tercih olarak kılıyor.						Een groot verzilverd ceremonieel zwaard, adele krijgers zouden hun veiligheid niet vrijwillig opgeven. Evenals, het bereik en het zilver maken dit wapen geweldig tegen hordes ondonden.		Uma grande espada cerimonial de prata, os nobres guerreiros não escolheriam abrir mão de sua segurança pessoal. No entanto, o alcance e a prata tornam esta arma excelente para hordas de mortos-vivos.	一把超大的镀银仪式用剑，高贵的武者会用它捍卫自己的安全。 挥舞的范围和纯银材质对亡灵生物而言是致命的。		은으로 도금된 의식용 검. 이검을 지닌 고귀한 전사들은 죽은자들과의 싸움을 주저하지 않습니다.								
SilverGreatMaceHTD_Name	Great Silver Mace		Masse d'argent		Großer Silberstreitkolben	Gran maza de plata	Серебряный великая булава								Büyük Gümüş Gürz						Zilveren Grootknots		Excelente Maça de Prata	大银锤		은 양손메이스								
SilverGreatMaceHTD_Desc	Forged with silver and enchanted, the weight of the bludgeoning head makes it great against the undead. The enchantments give it the ability freeze those it hits.				Mit Silber geschmiedet und verzaubert, macht es das Gewicht des Knüppelkopfes großartig gegen die Untoten. Die Verzauberungen geben ihm die Fähigkeit, diejenigen einzufrieren, die er trifft.	Forjada  y encantada con plata, su peso y material la convierte en un arma muy deseada para acabar con los no-muerto, los encantamientos le otorgan el poder de congelar	Выкованная из серебра и зачарованная, именно такой вес серебра делает её отличным оружием против нежити, благодаря очищающему металлу и его плотности. Чары свою очередь дают ей возможность замораживать пораженных врагов.								Gümüşle dövülmüş ve büyülenmiş, gümüşün ağırlığı, arındırıcı metalden ve yoğunluktan onu ölümsüzlere karşı harika kılıyor. Büyüler ona çarptığını dondurma yeteneği sağlar.						Gesmeed met zilver en betoverd, het gewicht van de knots maakt het gewldig tegen ondoden. De betoveringen geeft het de kracht degene die geraakt worden te bevriezen. 		Forjado com prata e encantado, o peso da cabeça do golpe o torna grande contra os mortos-vivos. Os encantamentos dão a habilidade de congelar esses golpes.	用银锻造并附魔，银的重量使其从净化金属和密度上可以很好地对抗不死生物。 附魔使它能够冻结它击中的人。		은으로 단조되고 마법이 부여된 은 양손메이스는 교회의 이단심문관의 주무기입니다. 죽은자들에게 효과적입니다.								
SilverBattleaxeHTD_Name	Silver Battleaxe		Hache de combat en argent		Silberne Streitaxt	Hacha de guerra de plata	Серебряный боевой топор								Gümüş Savaş Baltası						Zilveren Strijdbijl		Machado de Batalha de Prata	银色战斧		은 전투도끼								
SilverBattleaxeHTD_Desc	Made from the purest of metals, this battleaxe is touched by the fury of the sky making it crackle with electricity. It can make due to sunder trees as well.				Diese aus reinsten Metallen gefertigte Streitaxt wird von der Wut des Himmels berührt und lässt sie vor Elektrizität knistern. Es kann auch aufgrund von Sunder Trees machen.	Forjada con el mas puro de los metales, Este hacha de batalla es tocada por la furia del cielo, haciendola crepitar con la electricidad.	Боевой топор из чистого металла, пораженный яростью неба, заставляющего его излучать электрические разряды. Искри также могут появится и при рубки деревьев.								Metallerin en safından olan bu savaş baltası, gökyüzünün gazabından etkilenir ve elektrikle kıvılcımlanır. Uzuvkoparan ağaçlar nedeniyle de yapabilir.						Gemaakt van de puurste metalen, deze strijdbijl is geraakt door de furie van de lucht waardoor het knettert met elektriciteit. Het zal ook voldoen om bome te splijtsen.		Feito com o mais puro dos metais, este machado de batalha é tocado pela fúria do céu fazendo-o estalar com eletricidade. Também pode ocorrer devido a árvores rachadas.	最纯净的金属，这把战斧被天空的愤怒所触动，使其发出电流声。 它也可能因树木被破坏而产生。		순수한 금속인 이 전투도끼는 하늘의 분노에 전율합니다.								
BlackMetalGreatSwordHTD_Name	Black Metal Greatsword		Espadon en metal sombre		Schwarzmetall-Großschwert	Espada Bastarda de metal oscuro	Великий меч из черного металла								Karametal Büyük Kılıç						Zwart Metaal Langzwaard		Espada de Metal Negro	黑金属大剑		흑철 대검								
BlackMetalGreatSwordHTD_Desc	A simple and yet crude greatsword, its blade shines green giving it a beautiful gleam.				Ein einfaches und doch grobes Großschwert, dessen Klinge grün glänzt und ihm einen schönen Glanz verleiht.	Una gran espada algo tosca y simple,  Brilla con un tenue verde  que la convierte en un arma hermosa.	Простой и в то же время грубый большой меч, он имеет зеленое сияние, придающие ему прекрасные отблески.								Basit ama yine de kaba bir büyük kılıç, yeşil parlıyor ve ona güzel bir parıltı veriyor.								Uma espada larga e simples, mas rude, sua lâmina brilha em verde, dando-lhe um belo brilho.	简单粗暴的大剑，闪烁着绿色的光芒，散发着美丽的光芒。		조잡하지만 단순한 대검으로 녹색으로 빛나고있습니다.								
BlackMetalBattleaxeHTD_Name	Black Metal Battleaxe				Streitaxt aus schwarzem Metall	Hacha de guerra de  metal oscuro	Великий топор из черного металла								Karametal  Savaş Baltası						Zwart metaal Strijdbijl		Machado de Batalha de Metal Negro	黑金属战斧		흑철 전투도끼								
BlackMetalBattleaxeHTD_Desc	A heavy-ended battleaxe forged from dark metal with an emerald sheen.				Eine schwere Streitaxt aus dunklem Metall mit smaragdgrünem Glanz.	Un hacha de batalla  pesada forjada en metal oscuro y con un brillo verde esmeralda.	Боевой топор с тяжелым наконечником, выкованный из темного металла и доведённый до изумрудного блеска.								Zümrüt parlaklığına sahip karametalden dövülmüş ağır uçlu bir savaş baltası.								Um machado de batalha de ponta pesada forjado em metal escuro com um brilho esmeralda.	一把重头战斧，由带有祖母绿光泽的深色金属锻造而成。		녹색 빛을 띄는 흑철로 만든 튼튼한 전투도끼입니다.								
CoreGreatMaceHTD_Name	Great Core Mace				Großer Kernstreitkolben	Gran maza del nucleo	Великий Кори Мейс								Büyük Çekirdekli Gürz						Kern Grootknots		Excelente Maça de Surtling	大核心钉头锤		코어 양손 메이스								
CoreGreatMaceHTD_Desc	An extremely heavy mace made with dark iron and a surtling core that still glows bright. Smash and burn those that oppose you.				Ein extrem schwerer Streitkolben aus dunklem Eisen und einem schillernden Kern, der immer noch hell leuchtet. Zerschmettere und verbrenne diejenigen, die sich dir widersetzen.	Una maza extremadamente pesada forjada con hierro oscuro y un nucleo de Surtling, Que aplasta y quema a sus oponentes	Чрезвычайно тяжелая булава, созданная из черного железа и ядра суртлинга, которое воспламенное сущностью Суртлинга. Сокрушайте и сжигайте тех, кто вам противостоит.								Koyu renk demirden yapılmış son derece ağır bir gürz ve Surtling özüyle ateşlenen dönen bir çekirdek. Size karşı olanları parçalayın ve yakın. 								Uma maça extremamente pesada feito de ferro negro e minério surtling que ainda brilha forte. Esmague e queime aqueles que se opõem a você.	一把由黑铁制成的极其沉重的狼牙棒和一个用苏特林精华点燃的苏林核心。 粉碎和烧毁那些反对你的人。		흑철과 몬스터의 정수로 만들어진 양손 메이스 입니다. 당신에게 반하는 자를 부수고 불태우십시오.								
CoreGreatMaceGreenHTD_Name	Green Great Core Mace				Grüner Großkernstreitkolben	Maza del nucleo verde	Великий Зеленый Кори Мейс								Yeşil Büyük Çekirdekli Gürz						Groene Kern Grootknots		Excelente Maça Esverdiada	绿色大核狼牙棒		그린 코어 양손 메이스								
CoreGreatMaceGreenHTD_Desc	An extremely heavy mace made with dark iron and a surtling core that glows an eerie green. Smash and burn those that oppose you.				Ein extrem schwerer Streitkolben aus dunklem Eisen und einem gruseligen Kern, der in einem unheimlichen Grün leuchtet. Zerschmettere und verbrenne diejenigen, die sich dir widersetzen.	Una maza extremadamente pesada forjada con hierro oscuro y un nucleo de Surtling, Que aplasta y quema a sus oponentes, esta teñida de verde	Чрезвычайно тяжелая булава, созданная из черного железа и ядра суртлинга, которое воспламенное сущностью Суртлинга. Сокрушайте и сжигайте тех, кто вам противостоит. Она окрашена в зеленый цвет.								Koyu renk demirden yapılmış son derece ağır bir gürz ve Surtling özüyle ateşlenen dönen bir çekirdek. Size karşı olanları parçalayın ve yakın. Yeşile boyanmıştır.								Uma maça extremamente pesada feita de ferro negro e um minério surtling que brilha em um verde assustador. Esmague e queime aqueles que se opõem a você.	一把由黑铁制成的极其沉重的狼牙棒和一个用苏特林精华点燃的苏林核心。 粉碎和烧毁那些反对你的人。 它被染成绿色。		일반 코어 양손 메이스보다 더 강력한 메이스입니다. 당신에게 반하는 자를 부수고 불태우십시오.								
CoreGreatMaceBlueHTD_Name	Blue Great Core Mace				Blaue Große Kernkeule		Синий Великий Кори Мейс														Blauwe Kern Grootknots		Excelente Maça Azulada	蓝色大核狼牙棒		블루 코어 양손 메이스								
CoreGreatMaceBlueHTD_Desc	An extremely heavy mace made with dark iron and a surtling core that glows a icy blue. Smash and burn those that oppose you.				Eine extrem schwere Keule aus dunklem Eisen und einem Surtlingkern, der eisblau leuchtet. Zerschmettere und verbrenne diejenigen, die sich dir widersetzen.		Чрезвычайно тяжелая дубинка из черного железа и сердцевина, которая светится синим как лед. Сокрушайте и сжигайте тех, кто противостоит вам.																Uma maça extretamente pesada feita de ferro negro e um minerio de surtling que brilha um azul gélido. Esmague e congele aqueles que se opõem a você.	由黑铁制成的极其沉重的狼牙棒，其核心是发出冰蓝色的光芒。 粉碎和烧毁那些反对你的人。		일반 코어 양손 메이스보다 더 강력한 메이스입니다. 당신에게 반하는 자를 부수고 불태우십시오.								
BoneGreatMaceHTD_Name	Grasp of Undying				Griff des Unsterblichen	Empuñadura Inmortal	Хватка бессмертия								Ölümsüz Kavrama						Grip van Onsterfelijkheid		Alcance dos Imortais	不死之握		불사의 손아귀								
BoneGreatMaceHTD_Desc	The heart of a troll cursed with undeath, its severed arm grasping the still beating heart that pumps toxic blood, forever trapped in a state of undying.				Das Herz eines vom Untod verfluchten Trolls, dessen abgetrennter Arm das immer noch schlagende Herz umfasst, das giftiges Blut pumpt, für immer in einem Zustand des Unsterblichen gefangen.	El corazon de un troll maldito con la No-muerte, Su brazo cercenado mientras asia el corazon que latia, bombea la sangre toxica, quedando atrapado como un arma para la eternidad.	Сердце тролля, проклятое нежитью, её отрубленная рука сжимает все еще бьющееся сердце, качающее ядовитую кровь, навеки заточенное в бессмертном состоянии.								Ölümle lanetlenmiş bir trolün kalbi, kopmuş kolu zehirli kan pompalayan ve sonsuza dek ölümsüz bir durumda kapana kısılmış, hala atan kalbi kavradı.								O coração de um troll amaldiçoado com mortos-vivos, seu braço decepado agarrando o coração ainda batendo que bombeia sangue tóxico, para sempre preso em um estado de imortalidade.	巨魔的心脏被亡灵诅咒，它被切断的手臂抓住了仍在跳动的心脏，泵出有毒血液，永远被困在不死的状态中。		언데드의 저주를 받은 트롤의 심장, 잘려진 팔이 유독 피를 뿜어내고 여전히 고동치는 심장을 움켜쥐고 영원히 불사 상태에 갇힙니다.								
ObsidianGreatSwordHTD_Name	Moder's Sorrow				Mutters Kummer	Lamento de moder	Скорбь Матери								Moder'in Kederi						Moder's Leed		Tristeza de Moder	现代人的悲哀		모더의 슬픔								
ObsidianGreatSwordHTD_Desc	Moder's sorrow made tangible in a massive blade through obsidian and the breath of the mountains. Those that wield this can freeze the very souls of who they hit.				Mutters Kummer wurde durch Obsidian und den Hauch der Berge in einer massiven Klinge greifbar. Diejenigen, die dies ausüben, können die Seelen derer, die sie treffen, einfrieren.	El lamento de moder se hizo tangible a traves de la obsidiana y el frio aliento de la montaña,  se dice que su golpe puede congerla el alma de sus rivales.	Великая скорбь Матери стала ощутимой посредством силе обсидиана и дыханию гор. Те, кто ей владеют, смогут заморозить даже самые сильные души тех, в кого она направлена.								Moder'in Kederi obsidiyen ve dağların nefesiyle somutlaştırıldı. Bunu kullananlar, vurdukları kişilerin ruhlarını dondurabilir.								A tristeza de Moder se tornou tangível em uma lâmina enorme através da obsidiana e a respiração das montanhas. Aqueles que o empunham podem congelar as próprias almas de quem eles atingem.	现代人的悲痛之大，透过黑曜石和山间的气息，变得有形。 那些使用它的人可以冻结他们击中的人的灵魂。		모더의 슬픔 그것의 위대함은 흑요석과 산의 숨결을 통해 구체화되었습니다. 이것을 다루는자는 상대의 영혼을 얼어붙게 할 수 있습니다.								
ObsidianGreatSwordRedHTD_Name	Red Moder's Sorrow						Скорбь Красного Модера																	红色莫德的悲伤										
ObsidianGreatSwordRedHTD_Desc	Moder's sorrow made tangible in a massive blade through obsidian and the breath of the mountains. Those that wield this can freeze the very souls of who they hit. This glows red compared to its base form.						Скорбь Модера стала ощутимой в массивном клинке сквозь обсидиан и дыхание гор. Те, кто владеют этим, могут заморозить души тех, кого они ударили. Он светится красным по сравнению с его базовой формой.																	莫德的悲伤通过黑曜石和山脉的呼吸在巨大的刀刃上变得有形。那些使用它的人可以融化他们击中人的灵魂。与其基本形态相比，它发出红色光。										
FlametalGreatSwordHTD_Name	Flametal Greatsword				Flametall Großschwert	Espada bastada de flametal	Огненный великий меч								Oddemir Büyük Kılıç						Vlammetaal Langzwaard		Espada Grande de Lumetal	烈焰巨剑		이그나이트								
FlametalGreatSwordHTD_Desc	This blade is crafted from flametal from the Ashlands, the flames dancing from its blade sizzle with an unnatural vigor. Cuts with this would scorch soul and body alike.				Diese Klinge ist aus Flammental aus den Ashlands gefertigt, und die Flammen, die aus ihrer Klinge tanzen, zischen mit einer unnatürlichen Kraft. Schnitte damit würden Seele und Körper gleichermaßen versengen.	Esta hoja esta creada con metal llameante de las tierras abrazadas, las llamas bailan por su hoja mmientras crepitan con una fuerza antinatural, Sus golpes quemara el cuerpo y el alma por igua.	Этот клинок изготовлен из Огнеметалла добитого в Пепельных землях, пламя танцующее на его лезвии, шипит неестественной силой. Порезы сделанные им, смогут опалить душу и тело.								Bu bıçak, Kül Toprakları'ndan gelen alev metalinden yapılmıştır, kılıcından çıkan alevler doğal olmayan bir güçle cızırdamaktadır. Bununla yapılan kesikler hem ruhu hem de bedeni kavurur.								Esta lâmina é feita de Lumetal das Ashlands, as chamas dançando de sua lâmina chiam com um vigor sobrenatural. Cortes com isso queimariam tanto a alma quanto o corpo.	这把刀刃由灰烬之地的火焰制成，刀刃上舞动的火焰带着不自然的活力发出嘶嘶声。 用这个切割会烧焦灵魂和身体。		이그나이트의 검신안에서는 불꽃이 춤추고있으며 이는 상대의 영혼과 몸을 불태웁니다.								
DragonSlayerSwordHTD_Name	Dragon Slayer				Dragon Slayer	Mata dragones	Убийца Драконов								Ejderha Avcısı						Draken Doder		Matador de Dragões	屠龙者		용 살해자								
DragonSlayerSwordHTD_Desc	It was too big to be called a sword. Massive, thick, heavy, and far too rough. Indeed, it was a heap of raw iron. The blacksmith Godot forged this under to orders to create something that could slay a dragon  ". It can be best described as a sharp maul, rather than a sword.  In Memory of Kentarou Miura, 11-07-1966 to 06-05-2021. May your memory, and your legacy live on."				Es war zu groß, um als Schwert bezeichnet zu werden. Massiv, dick, schwer und viel zu rau. Tatsächlich war es ein Haufen Roheisen. Der Schmied Godot schmiedete dies unter dem Befehl, etwas zu schaffen, das einen Drachen töten könnte. "Es kann am besten als scharfes Hack und nicht als Schwert beschrieben werden. In Memory of Kentarou Miura, 11.07.1966 bis 06.05.2021 . Möge dein Andenken und dein Vermächtnis weiterleben."	Era demasiado grande para ser llamada Espada, Enorme, Gruesa, pesada y demasiado tosca, de hecho era un amasijo de metal oscuro. el herrero Godot forjo esto bajo las ordenes de crear algo que pudiera "matar a un dragon" Es mas facil describilar como maza con filo que como espada. (En memoria de Kentarou Miura, 11-07-1966 a 06-05-2021. Que tu memoria y tu legado sigan vivos)	«Он был слишком велик, чтобы называться мечом. Массивный, толстый, тяжелый и слишком грубый. Фактически, он был кучей сырого железа. Кузнец Годо выковал его по приказу, чтобы создать нечто, способное убить дракона.								Kılıç denilemeyecek kadar büyük. Devasa, kalın, ağır ve fazlasıyla kaba. Gerçekten de, bir ham demir yığını. Bir ejderhayı öldürebilecek bir şey yaratma fikri ile dövüldü.								Era muito grande para ser chamado de espada. Enorme, espesso, pesado e muito áspero. Na verdade, era um monte de ferro bruto. O ferreiro Godot forjou isso sob a ordem de criar algo que pudesse matar um dragão ". Pode ser melhor descrito como um maul afiado, em vez de uma espada. Em Memória de Kentarou Miura, 11-07-1966 a 06-05-2021 . Que sua memória e seu legado vivam. "	“它太大了，不能称为剑。又大又厚又重，而且太粗糙了。确实，它是一堆生铁。铁匠戈多为了制造可以“杀死龙”的东西而锻造了它 . 最好将它描述为一把锋利的槌子，而不是一把剑。纪念三浦健太郎，11-07-1966 至 06-05-2021。愿你的记忆和你的遗产永存。”		이 거대한 검신은 용의 목을 베어내기에 적합합니다.								
BoneGreatSwordHTD_Name	Body of the Devoted				Körper des Ergebenen		Убийца Масса Костей								Adanmışların Bedeni						Lichaam van de Toegewijde		Devoto dos Corpos	虔诚者的身体		헌신의 몸								
BoneGreatSwordHTD_Desc	The twisted bones of those devoted to the ideology of the Undying, sacrificing their own bodies to create this weapon in order to reach the state of immortality that they worshipped so intently. It seems to be indestructible, even healing the wielder slowly.				Die verdrehten Knochen derer, die sich der Ideologie der Unsterblichen verschrieben haben und ihre eigenen Körper opferten, um diese Waffe zu erschaffen, um den Zustand der Unsterblichkeit zu erreichen, den sie so intensiv verehrten. Es scheint unzerstörbar zu sein und heilt den Träger sogar langsam.		Искореженные кости тех, кто предан идеологии Бессмертия, жертвуя своими телами, чтобы создать это оружие, чтобы достичь состояния бессмертия, которому они так усердно поклонялись. Он кажется неразрушимым, даже медленно исцеляя владельца.								Ölümsüzler ideolojisine gönül verenlerin, bu silahı yaratmak için kendi bedenlerini feda edenlerin, bu kadar içtenlikle taptıkları ölümsüzlük durumuna ulaşmak için bükülmüş kemikleri. Yok edilemez gibi görünüyor, hatta sahibini yavaş yavaş iyileştiriyor.								Os ossos retorcidos daqueles devotados à ideologia dos Imortais, sacrificando seus próprios corpos para criar essa arma a fim de alcançar o estado de imortalidade que eles adoravam tão intensamente. Parece ser indestrutível, mesmo curando o portador lentamente.	那些致力于不朽意识的邪恶骷髅，牺牲自己的意识形态来制造这种武器，以达到他们唯一崇拜的不朽状态。它似乎是坚不可摧的，甚至慢慢地治愈持用者。		뒤틀린 뼈는 그들이 열렬히 숭배했던 불멸의 상태에 도달하기 위해 이 무기를 만들기 위해 그들 자신의 몸을 희생하는 것이다. 장착 치유 효과								
BlackMetalGreatSwordAltHTD_Name	Exotic Black Metal Greatsword				Exotisches Schwarzmetall-Großschwert		Двуручный таинственный меч из черного металла								Karametal Büyük Kılıç Yabancı						Exotisch Zwart Metaal Langzwaard		Exotica Espada Grande de Metal Negro	奇异的的黑金巨剑		엑소틱 흑철 대검								
BlackMetalGreatSwordAltHTD_Desc	A wavy great sword of death, the design is foreign but quite effective. Its blade shines green giving it a beautiful gleam.				Ein gewelltes großes Todesschwert, das Design ist fremd, aber sehr effektiv.		Волнистый большой меч смерти, дизайн чужой, но довольно эффективный.								Dalgalı büyük bir ölüm kılıcı, tasarım yabancı ama oldukça etkili.								Uma grande espada de forma ondulante, a forma é estranha, mas bastante eficaz e mortal.	这是一把波浪形的死亡之剑，设计别具一格，但相当有效。		물결치는 죽음의 대검인 그 디자인은 이국적이지만 꽤 효과적이다. 그 칼날은 초록색으로 빛나 아름다운 빛을 낸다.								
DeerFistsHTD_Name	Buck and Doe				Buck 'n Doe		Кастет из рогов Эйктюра								Antilop ve Karaca						Bok en Hinde		Buck and Doe	Buck 和 Doe		벅 엔 도								
DeerFistsHTD_Desc	Leather knuckle wraps with Eikthyr's antlers strapped to the right hand, giving the name of Buck and the Doe for the right and left wraps. It seems to have an unusual power.				Knöchelbandagen aus Leder mit Eikthyr-Geweih an der rechten Hand, die den Namen Buck 'n Doe für die rechte und linke Bandage tragen. Es scheint eine ungewöhnliche Kraft zu haben.		Кожаные наколенники с рогами, привязанными к правой руке, дают название Оленю и Лани для правой и левой обертки. Кажется, он обладает необычной силой.								Sağ ele sarılı Eikthyr boynuzları ile deri mafsal sargıları, sağ ve sol sargılardan dolayı Antilop ve Karaca adını alır. Alışılmadık bir güce sahip gibi görünüyor.								Punhos de couro com chifres de Eikthyr amarrados à mão direita, dando o nome de Buck e Doe para os punhos direito e esquerdo. Parece ter um poder incomum.	皮革绑在右手指关节上包裹着Eikthyr的鹿角，浮现出Buck和Doe的名字。它似乎有一种不同寻常的力量。		가죽 손가락 마디가 에이크티르의 뿔로 오른손에 감겨 오른쪽과 왼쪽을 감쌀 때 벅과 도라는 이름을 붙인다. 그것은 특이한 힘을 가지고 있는 것 같다.								
BronzeFistsHTD_Name	Bronze Knuckles				Bronzeknöchel		Бронзовый костет								Bronz Muşta						Bronzen Knokkels		Manoplas de Bronze	青铜手套		청동 얼음주먹								
BronzeFistsHTD_Desc	A set of gauntlets fixed with bronze to not only protect the user's hands but also to help inflict more damage to those they hit.				Ein Set mit bronzenen Panzerhandschuhen, die nicht nur die Hände des Benutzers schützen, sondern auch den getroffenen Personen mehr Schaden zufügen.		Набор перчаток, закрепленных бронзой, чтобы не только защитить руки пользователя, но и помочь нанести больший урон тем, кого они поражают.								Sadece kullanıcının ellerini korumakla kalmayıp aynı zamanda vurduğu kişilere daha fazla hasar vermesine yardımcı olmak için bronzla sabitlenmiş bir dizi eldiven.								Um conjunto de manoplas fixadas com bronze para não apenas proteger as mãos do usuário, mas também para ajudar a infligir mais danos àqueles que atingirem.	一副用青铜制作的护手套，不仅可以保护你的双手，还可以帮助你击败敌人。 		성사동 수연이 주먹								
IronFistsHTD_Name	Iron Knuckles				Eiserne Knöchel		Железный костет								Demir Muşta						Ijzeren Knokkels		Manoplas de Ferro	铁手套		철 불주먹								
IronFistsHTD_Desc	A set of gauntlets fixed with iron to not only protect the user's hands but also to help inflict more damage to those they hit.				Ein Satz mit Eisen befestigter Stulpen, die nicht nur die Hände des Benutzers schützen, sondern auch den getroffenen Personen mehr Schaden zufügen.		Набор перчаток, закрепленных железом, чтобы не только защитить руки пользователя, но и помочь нанести больший урон тем, кого они поражают.								Sadece kullanıcının ellerini korumakla kalmayıp aynı zamanda vurduğu kişilere daha fazla hasar vermesine yardımcı olmak için demirle sabitlenmiş bir dizi eldiven.								Um conjunto de manoplas fixadas com ferro não apenas para proteger as mãos do usuário, mas também para ajudar a infligir mais danos àqueles que atingirem.	一副用铁制作的护手套，不仅可以保护你的双手，还可以帮助你击败敌人。		성사동 대성이 주먹								
